called strikes + whiffs,player_id,player_name,pitch_type,total_pitches,csw_percent,whiffs,called strikes
149,592094,"Adam, Jason",ST,337,44.2,71,78
95,622075,"Almonte, Yency",ST,223,42.6,50,45
143,657376,"Schmidt, Clarke",ST,353,40.5,66,77
392,660271,"Ohtani, Shohei",ST,983,39.9,191,201
177,493603,"Ottavino, Adam",ST,452,39.2,86,91
218,643377,"Jax, Griffin",ST,560,38.9,102,116
59,669713,"Wesneski, Hayden",ST,158,37.3,24,35
227,573124,"Rogers, Taylor",ST,619,36.7,114,113
266,592351,"Gray, Jon",ST,733,36.3,154,112
65,661527,"Martinez, Seth",ST,180,36.1,38,27
117,548384,"Raley, Brooks",ST,324,36.1,62,55
183,682171,"Murfee, Penn",ST,512,35.7,79,104
44,607481,"Bummer, Aaron",ST,124,35.5,19,25
45,605280,"Holmes, Clay",ST,129,34.9,28,17
141,623465,"Phillips, Evan",ST,408,34.6,82,59
157,641482,"Cortes, Nestor",ST,459,34.2,38,119
116,664875,"Lawrence, Justin",ST,341,34,58,58
160,623149,"Sewald, Paul",ST,473,33.8,81,79
94,621051,"Wilson, Steven",ST,279,33.7,46,48
134,502179,"Espino, Paolo",ST,399,33.6,56,78
90,641501,"Danish, Tyler",ST,269,33.5,27,63
131,669395,"Coleman, Dylan",ST,393,33.3,66,65
78,650633,"King, Michael",ST,234,33.3,42,36
79,656257,"Brigham, Jeff",ST,241,32.8,31,48
69,657770,"Stout, Eric",ST,213,32.4,24,45
132,594580,"Moll, Sam",ST,408,32.4,56,76
79,573204,"Thielbar, Caleb",ST,248,31.9,36,43
166,543521,"McHugh, Collin",ST,524,31.7,77,89
34,664139,"Gibaut, Ian",ST,108,31.5,18,16
87,596057,"Norris, Daniel",ST,278,31.3,42,45
133,656354,"Davis, Austin",ST,426,31.2,48,85
74,681806,"Wantz, Andrew",ST,237,31.2,36,38
61,664208,"Maton, Phil",ST,196,31.1,35,26
42,676760,"Marinaccio, Ron",ST,135,31.1,15,27
78,663423,"Thornton, Trent",ST,252,31,34,44
92,476595,"Luetge, Lucas",ST,301,30.6,33,59
59,676534,"Faucher, Calvin",ST,194,30.4,28,31
154,670036,"Festa, Matt",ST,507,30.4,79,75
137,506433,"Darvish, Yu",ST,457,30,62,75
106,664353,"Urquidy, José",ST,357,29.7,48,58
181,657248,"Otto, Glenn",ST,613,29.5,100,81
119,518617,"Diekman, Jake",ST,411,29,65,54
61,448179,"Hill, Rich",ST,211,28.9,37,24
77,547179,"Lorenzen, Michael",ST,268,28.7,34,43
57,670990,"Ramirez, Yohan",ST,200,28.5,31,26
201,543475,"Lyles, Jordan",ST,716,28.1,100,101
80,657093,"Watkins, Spenser",ST,289,27.7,41,39
34,686610,"Waldichuk, Ken",ST,123,27.6,21,13
53,663765,"Woodford, Jake",ST,195,27.2,24,29
64,605135,"Bassitt, Chris",ST,236,27.1,42,22
115,543272,"Hand, Brad",ST,425,27.1,36,79
124,669952,"White, Mitch",ST,467,26.6,86,38
109,656605,"Keller, Mitch",ST,431,25.3,59,50
39,641302,"Alexander, Tyler",ST,157,24.8,14,25
119,656876,"Rasmussen, Drew",ST,514,23.2,78,41
24,642231,"Yacabonis, Jimmy",ST,109,22,11,13
39,543243,"Gray, Sonny",ST,192,20.3,28,11
